Timestamp,DC_Link_Voltage,vehicle_speed,Torque_Measured,MotorTemperature,Odometer,cabin_temperature,outdoor_temperature,slope,DC_Link_Current
2025-06-17 13:56:13,46.625,28.5,33.375,27.0,859.7,14.7,7.96,13.0,247.0
2025-06-17 13:53:42,48.6825,16.348484848484848,33.18,83.26,334.20000000000005,16.06428499949965,4.6524387070949675,0.4383068147703392,141.07
2025-06-17 12:12:30,47.4375,25.0,17.0,25.0,888.6,13.16,1.5,4.0,105.0
2025-06-17 13:54:48,49.025,14.090909090909092,19.0,87.76,334.40000000000003,16.06428499949965,4.6524387070949675,0.4383068147703392,70.06
2025-06-17 14:06:52,48.5,24.0,20.0,5.0,869.0,16.83,8.48,7.0,116.0
2025-06-17 14:09:16,49.625,25.5,-2.0,8.0,869.8000000000001,16.85,7.56,0.0,-7.0
2025-06-17 13:02:26,49.875,13.5,-8.0,20.0,874.3000000000001,12.29,5.33,-8.0,-17.0
2025-06-17 12:30:39,47.5,34.5,12.0,4.0,883.5,13.8,5.82,2.0,96.0
2025-06-17 13:26:08,48.78875,15.0,10.0,73.0,418.3,16.06428499949965,4.6524387070949675,0.4383068147703392,39.02
2025-06-17 12:21:15,47.25,25.0,18.0,18.0,886.5,13.16,1.46,6.0,113.0
2025-06-17 15:37:53,49.1875,12.5,-10.0,37.0,900.2,23.35,3.11,0.0,-18.0
2025-06-17 15:35:29,49.1875,3.5,-1.0,34.0,899.3000000000001,24.65,3.55,-2.0,54.0
2025-06-17 13:34:24,48.771875,15.602941176470589,11.1,74.06,420.1,16.06428499949965,4.6524387070949675,0.4383068147703392,46.45
2025-06-17 14:09:39,49.3125,24.5,7.0,8.0,869.9000000000001,16.42,7.39,2.0,40.0
2025-06-17 12:56:19,48.885625,21.544117647058822,6.0,71.5,417.4,16.06428499949965,4.6524387070949675,0.4383068147703392,32.53
2025-06-17 13:30:34,49.43125,15.909090909090908,-12.28875,73.12,419.3,16.06428499949965,4.6524387070949675,0.4383068147703392,-30.22
2025-06-17 12:50:31,49.125,16.5,12.0,25.0,876.9000000000001,12.25,5.08,6.0,51.0
2025-06-17 12:37:44,48.63625,27.96969696969697,17.97,76.8,326.5,16.06428499949965,4.6524387070949675,0.4383068147703392,118.36
2025-06-17 14:42:22,49.125,15.5,8.0,33.0,892.4000000000001,14.7,2.29,4.0,33.0
2025-06-17 15:57:39,48.1875,18.5,14.0,36.0,899.2,25.34,3.26,0.0,66.0
2025-06-17 13:43:23,47.75,21.0,17.0,20.0,856.7,13.16,9.1,7.0,90.0
2025-06-17 13:48:17,49.15875,16.59090909090909,14.07,86.2,333.0,16.06428499949965,4.6524387070949675,0.4383068147703392,57.38
2025-06-17 14:04:56,48.5,12.0,1.0,30.0,861.3000000000001,13.7,7.61,2.0,3.0
2025-06-17 12:22:49,49.1875,20.0,-6.0,19.0,887.0,13.71,1.59,2.0,-20.0
2025-06-17 12:12:20,47.75,24.5,12.0,24.0,888.5,13.81,1.46,6.0,72.0
2025-06-17 13:01:20,49.8125,13.5,-7.0,19.0,874.0,12.2,5.38,-8.0,-15.0
2025-06-17 12:59:10,49.375,16.0,2.0,19.0,873.6,12.14,5.43,2.0,9.0
2025-06-17 12:19:48,47.875,6.5,42.0,26.0,890.0,13.25,1.63,6.0,104.0
2025-06-17 15:39:06,47.4375,20.0,18.0,43.0,900.5,23.96,3.11,4.0,93.0
2025-06-17 13:32:43,48.67375,11.924242424242424,19.8,73.02,419.7000000000001,16.06428499949965,4.6524387070949675,0.4383068147703392,65.22
2025-06-17 12:26:10,48.75,11.0,6.0,20.0,888.0,13.4,1.5,2.0,19.0
2025-06-17 15:22:15,49.3125,13.5,5.0,28.0,879.5,10.57,5.08,-2.0,19.0
2025-06-17 13:57:00,47.0,26.5,21.0,28.0,860.1,15.4,7.92,2.0,139.0
